               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018994,            0.024079,              0.0081,             0.96588,             0.96113,             0.97665,             0.74856,            0.014261,            0.015711,           0.0052284,           0.0097011,           0.0097011,           0.0097011
                  37,            0.018998,            0.023493,            0.008085,             0.97025,             0.95742,             0.97677,              0.7528,             0.01389,            0.015613,           0.0046287,            0.009684,            0.009684,            0.009684
                  38,            0.018719,            0.023917,           0.0077968,             0.96552,             0.96589,             0.97774,             0.73313,            0.014456,            0.015914,           0.0047272,           0.0096664,           0.0096664,           0.0096664
                  39,            0.018719,            0.023462,           0.0074062,             0.97292,             0.96342,              0.9774,             0.75606,            0.013848,            0.015442,            0.004592,           0.0096484,           0.0096484,           0.0096484
                  40,            0.018588,            0.023803,           0.0072163,             0.97277,             0.96785,             0.98112,             0.75615,            0.013938,            0.015478,           0.0041057,           0.0096299,           0.0096299,           0.0096299
                  41,            0.018401,             0.02401,           0.0073729,             0.96901,             0.97024,             0.97805,             0.75734,             0.01405,             0.01547,           0.0049018,            0.009611,            0.009611,            0.009611
                  42,            0.017941,            0.023782,           0.0070639,             0.97148,             0.96293,             0.97869,             0.76706,            0.013487,            0.015325,           0.0040777,           0.0095916,           0.0095916,           0.0095916
                  43,            0.018162,            0.023832,           0.0072932,             0.96702,             0.96798,              0.9772,             0.76132,            0.013496,            0.015298,           0.0042761,           0.0095717,           0.0095717,           0.0095717
                  44,            0.017711,            0.023886,           0.0070025,              0.9755,             0.96071,             0.98026,             0.76281,            0.013529,            0.015348,           0.0040426,           0.0095514,           0.0095514,           0.0095514
                  45,            0.017917,            0.023296,           0.0067305,             0.97687,             0.96705,             0.97911,             0.77371,            0.013007,             0.01519,           0.0039207,           0.0095307,           0.0095307,           0.0095307
                  46,            0.017757,            0.024454,           0.0091466,             0.96819,             0.95477,             0.97675,             0.75685,            0.013553,            0.015398,           0.0044829,           0.0095095,           0.0095095,           0.0095095
                  47,            0.018005,            0.024858,           0.0076984,             0.97442,              0.9585,             0.97996,             0.76698,            0.013558,             0.01525,           0.0036652,           0.0094879,           0.0094879,           0.0094879
                  48,            0.017866,            0.024546,           0.0071518,             0.97475,             0.96415,             0.97864,             0.76102,            0.013546,            0.015164,           0.0038193,           0.0094659,           0.0094659,           0.0094659
                  49,            0.017208,            0.023222,           0.0064695,             0.97469,             0.96894,             0.97952,             0.76944,            0.012906,             0.01505,           0.0035412,           0.0094434,           0.0094434,           0.0094434
                  50,            0.017366,            0.022815,           0.0069655,             0.97576,             0.96956,             0.97981,             0.75856,             0.01371,            0.015187,           0.0040929,           0.0094205,           0.0094205,           0.0094205
                  51,            0.017484,            0.023378,           0.0065232,             0.97571,             0.96927,             0.98081,             0.77246,            0.013256,            0.015099,           0.0040397,           0.0093971,           0.0093971,           0.0093971
                  52,            0.017748,            0.022955,           0.0066378,             0.97623,             0.97495,             0.98221,              0.7717,            0.013025,            0.014863,            0.003519,           0.0093733,           0.0093733,           0.0093733
                  53,            0.017551,            0.023372,           0.0064831,             0.97317,             0.96577,              0.9796,             0.76801,            0.013202,            0.015128,            0.003945,           0.0093491,           0.0093491,           0.0093491
                  54,            0.017277,            0.023517,           0.0067367,             0.97299,             0.96185,             0.97827,             0.76459,            0.013139,            0.015255,           0.0038768,           0.0093245,           0.0093245,           0.0093245
                  55,            0.017247,            0.023083,           0.0063345,             0.97924,             0.97254,             0.98132,             0.77212,            0.013504,             0.01484,           0.0034253,           0.0092995,           0.0092995,           0.0092995
                  56,            0.016379,            0.022887,           0.0057832,             0.97239,             0.97137,             0.98042,             0.77827,            0.012713,             0.01478,           0.0037539,            0.009274,            0.009274,            0.009274
                  57,             0.01678,            0.023073,           0.0057562,             0.97957,             0.96919,              0.9804,             0.78022,            0.012449,            0.014741,           0.0034812,           0.0092481,           0.0092481,           0.0092481
                  58,            0.016792,            0.022773,           0.0058682,             0.97432,             0.96831,             0.97924,             0.77361,            0.012726,            0.015065,           0.0043966,           0.0092219,           0.0092219,           0.0092219
                  59,              0.0171,            0.022872,           0.0060728,             0.97728,             0.96824,             0.98024,             0.77608,             0.01286,            0.014982,           0.0035363,           0.0091952,           0.0091952,           0.0091952
                  60,            0.016885,            0.023521,           0.0061741,             0.97977,             0.96821,              0.9816,             0.78001,             0.01278,             0.01479,           0.0034161,           0.0091681,           0.0091681,           0.0091681
                  61,            0.016618,            0.022793,           0.0055259,             0.98036,             0.96779,             0.98154,             0.77976,             0.01259,            0.014761,           0.0033019,           0.0091406,           0.0091406,           0.0091406
                  62,            0.016979,            0.022831,           0.0057288,             0.97715,             0.97344,             0.98184,             0.77167,            0.012691,            0.014798,           0.0032753,           0.0091127,           0.0091127,           0.0091127
                  63,            0.016901,            0.022917,           0.0059032,             0.97968,             0.97243,             0.98153,             0.77984,            0.012411,            0.014903,           0.0036512,           0.0090844,           0.0090844,           0.0090844
