               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072182,             0.06873,            0.060377,             0.25421,             0.38082,             0.32739,              0.1498,            0.042509,            0.036489,            0.052467,           0.0033304,           0.0033304,            0.070027
                   1,            0.056387,            0.050728,            0.049163,             0.24163,             0.69677,              0.4881,             0.21827,            0.045353,            0.033976,            0.039948,           0.0066635,           0.0066635,            0.040027
                   2,            0.053992,            0.047705,            0.039106,             0.67083,             0.53583,             0.63767,             0.34003,            0.037132,            0.032359,            0.031662,           0.0099961,           0.0099961,            0.010026
                   3,            0.045845,            0.046021,            0.029822,             0.53199,             0.89238,              0.8031,             0.53164,            0.034636,            0.030758,            0.021488,           0.0099978,           0.0099978,           0.0099978
                   4,             0.04013,            0.043605,            0.023247,             0.85015,             0.90548,             0.94833,             0.51144,            0.036319,            0.030274,            0.015725,           0.0099978,           0.0099978,           0.0099978
                   5,            0.036768,            0.042212,            0.019104,              0.9227,             0.93223,              0.9701,             0.69202,            0.026811,            0.027911,            0.012612,           0.0099961,           0.0099961,           0.0099961
                   6,            0.035465,            0.041215,             0.01598,             0.94286,             0.93133,             0.96433,             0.69006,            0.027012,            0.028115,            0.010178,           0.0099938,           0.0099938,           0.0099938
                   7,            0.034502,            0.039726,             0.01484,             0.96192,             0.96082,             0.97446,             0.71621,            0.024971,            0.027174,           0.0092752,           0.0099911,           0.0099911,           0.0099911
                   8,             0.03223,            0.040169,             0.01287,             0.96941,             0.96811,             0.97827,             0.73707,            0.024159,            0.026746,           0.0077901,           0.0099879,           0.0099879,           0.0099879
                   9,             0.03183,            0.040294,            0.011706,             0.96921,             0.96603,             0.97766,             0.69333,            0.025529,             0.02714,            0.007239,           0.0099842,           0.0099842,           0.0099842
                  10,            0.031153,            0.038521,            0.011453,             0.97647,             0.97539,             0.97825,             0.75484,            0.021995,            0.025692,           0.0067951,             0.00998,             0.00998,             0.00998
                  11,            0.029986,            0.038449,            0.010943,             0.97956,             0.97139,             0.98117,             0.74463,            0.022986,            0.025904,           0.0066664,           0.0099753,           0.0099753,           0.0099753
                  12,            0.028985,             0.03738,            0.010697,             0.97486,             0.97355,             0.98211,             0.76459,            0.021547,              0.0256,            0.006079,           0.0099702,           0.0099702,           0.0099702
                  13,            0.028807,            0.037909,            0.010224,             0.97997,             0.97504,             0.98109,             0.75462,             0.02273,            0.025541,           0.0059149,           0.0099645,           0.0099645,           0.0099645
                  14,            0.028444,            0.037531,             0.01004,             0.97087,             0.97943,             0.98212,              0.7691,            0.021553,            0.025234,           0.0056429,           0.0099584,           0.0099584,           0.0099584
                  15,            0.028397,              0.0378,           0.0091106,             0.97636,             0.97861,             0.97949,             0.77417,            0.020425,            0.024876,           0.0058728,           0.0099517,           0.0099517,           0.0099517
                  16,            0.027386,            0.037554,           0.0090408,             0.95897,             0.96757,             0.97652,             0.77227,            0.021983,            0.024897,           0.0060756,           0.0099446,           0.0099446,           0.0099446
                  17,            0.026783,            0.036789,           0.0090667,             0.97276,             0.97523,             0.98089,             0.77316,            0.020716,            0.024571,            0.006492,            0.009937,            0.009937,            0.009937
                  18,            0.027805,            0.037369,           0.0088424,             0.97656,             0.97977,             0.98287,             0.78502,            0.020039,            0.024304,           0.0053969,           0.0099289,           0.0099289,           0.0099289
                  19,            0.026575,            0.035322,            0.008946,             0.97821,              0.9793,             0.98165,             0.79291,            0.020488,            0.024605,           0.0051879,           0.0099203,           0.0099203,           0.0099203
                  20,            0.025918,            0.036596,           0.0086192,             0.97255,              0.9775,             0.98293,             0.78804,            0.019621,            0.024328,           0.0054977,           0.0099112,           0.0099112,           0.0099112
                  21,            0.026428,            0.036802,           0.0086426,             0.98164,             0.97812,             0.98224,             0.79478,            0.019483,            0.024428,           0.0050019,           0.0099017,           0.0099017,           0.0099017
                  22,            0.025561,            0.035962,           0.0084624,             0.98085,             0.97601,             0.98229,              0.7923,            0.019349,            0.024149,           0.0056777,           0.0098916,           0.0098916,           0.0098916
                  23,            0.025481,            0.034984,           0.0079217,             0.97858,             0.98156,             0.98209,             0.80249,            0.018932,            0.023431,           0.0048522,           0.0098811,           0.0098811,           0.0098811
                  24,            0.025329,            0.034402,           0.0075625,             0.97826,             0.98141,             0.98372,             0.79539,            0.018685,            0.023652,           0.0048161,           0.0098701,           0.0098701,           0.0098701
                  25,            0.024893,            0.035432,             0.00786,             0.97829,              0.9741,             0.98332,             0.78057,            0.019652,            0.024136,           0.0053045,           0.0098586,           0.0098586,           0.0098586
                  26,            0.024414,            0.034946,           0.0077355,             0.97656,             0.97921,             0.98504,             0.80226,            0.019434,            0.023678,           0.0050101,           0.0098467,           0.0098467,           0.0098467
                  27,            0.025188,            0.035379,           0.0085786,             0.98057,             0.97467,             0.98296,              0.7983,            0.019046,            0.023783,           0.0053452,           0.0098342,           0.0098342,           0.0098342
                  28,            0.025004,             0.03474,           0.0079569,             0.98333,             0.97493,             0.98113,             0.80129,            0.018162,            0.023526,           0.0048617,           0.0098213,           0.0098213,           0.0098213
                  29,            0.023811,            0.034663,           0.0075771,             0.98111,             0.97439,             0.98133,             0.80517,            0.017654,            0.023215,           0.0047215,           0.0098079,           0.0098079,           0.0098079
                  30,            0.024266,            0.035155,            0.008032,             0.97266,             0.97413,             0.98225,             0.79851,            0.017779,            0.023312,           0.0050198,           0.0097941,           0.0097941,           0.0097941
                  31,            0.023783,            0.034785,           0.0076357,             0.98142,              0.9746,             0.98376,             0.80716,            0.017829,            0.023392,           0.0054216,           0.0097798,           0.0097798,           0.0097798
                  32,            0.023061,            0.033854,            0.007544,             0.98005,              0.9744,             0.98249,              0.8075,            0.017786,            0.022794,           0.0046228,            0.009765,            0.009765,            0.009765
                  33,            0.024624,            0.035189,           0.0076361,             0.97559,             0.97957,             0.98349,             0.80441,            0.017813,            0.023436,           0.0046309,           0.0097497,           0.0097497,           0.0097497
                  34,            0.023287,            0.034203,           0.0068171,             0.97727,             0.98195,             0.98427,             0.81821,            0.017056,            0.022434,           0.0042278,            0.009734,            0.009734,            0.009734
                  35,            0.023288,            0.033288,           0.0072793,             0.97477,             0.97675,             0.98332,             0.81359,             0.01758,            0.023059,           0.0043702,           0.0097178,           0.0097178,           0.0097178
                  36,            0.023078,            0.032846,           0.0072363,             0.98016,             0.97772,             0.98286,             0.82019,            0.016827,            0.022683,           0.0044644,           0.0097011,           0.0097011,           0.0097011
                  37,            0.023708,            0.034297,           0.0068471,             0.98177,             0.98062,             0.98335,              0.8127,            0.017291,            0.022636,           0.0043692,            0.009684,            0.009684,            0.009684
                  38,            0.023001,            0.034575,           0.0064184,             0.98122,             0.97808,              0.9825,             0.81675,            0.017053,            0.022691,            0.004087,           0.0096664,           0.0096664,           0.0096664
                  39,            0.022847,            0.032915,           0.0064363,             0.97977,              0.9792,             0.98435,             0.81047,             0.01768,            0.023137,           0.0043496,           0.0096484,           0.0096484,           0.0096484
                  40,            0.022828,            0.033817,           0.0068206,             0.97629,             0.97563,             0.98457,             0.81272,             0.01719,            0.022639,           0.0045852,           0.0096299,           0.0096299,           0.0096299
                  41,            0.022879,            0.034736,           0.0070076,             0.97889,              0.9757,             0.98365,             0.81375,             0.01685,            0.023012,           0.0044048,            0.009611,            0.009611,            0.009611
                  42,            0.022849,            0.032863,           0.0066996,              0.9765,             0.98086,             0.98383,             0.80982,            0.017072,            0.022824,             0.00432,           0.0095916,           0.0095916,           0.0095916
                  43,            0.022226,            0.033873,           0.0062987,             0.97895,             0.97899,             0.98549,             0.81978,            0.016683,            0.022417,           0.0040315,           0.0095717,           0.0095717,           0.0095717
                  44,            0.022834,            0.034229,           0.0061468,             0.97827,             0.97696,              0.9856,             0.82236,            0.016667,            0.022749,           0.0044163,           0.0095514,           0.0095514,           0.0095514
                  45,            0.022656,            0.033579,           0.0059984,             0.97688,             0.98172,             0.98525,             0.81618,            0.017169,            0.022456,           0.0041059,           0.0095307,           0.0095307,           0.0095307
                  46,            0.021886,            0.033468,           0.0063348,             0.98072,              0.9803,             0.98404,               0.816,             0.01654,            0.022447,           0.0040584,           0.0095095,           0.0095095,           0.0095095
                  47,            0.022674,            0.033154,           0.0062834,             0.97355,              0.9755,             0.98314,             0.82367,            0.016547,             0.02202,            0.004591,           0.0094879,           0.0094879,           0.0094879
                  48,            0.022133,            0.033089,           0.0062811,             0.97742,             0.97999,             0.98329,             0.82299,            0.016446,            0.022291,           0.0042433,           0.0094659,           0.0094659,           0.0094659
                  49,             0.02219,            0.033683,            0.005793,             0.97938,             0.97924,             0.98322,             0.81815,            0.016454,            0.021908,           0.0042192,           0.0094434,           0.0094434,           0.0094434
                  50,             0.02198,            0.032424,           0.0057474,             0.97765,             0.98117,             0.98375,              0.8269,            0.015951,            0.022036,            0.004052,           0.0094205,           0.0094205,           0.0094205
                  51,            0.021762,            0.032649,           0.0055332,             0.97955,             0.98306,             0.98453,             0.82956,            0.015777,            0.021681,           0.0038063,           0.0093971,           0.0093971,           0.0093971
                  52,            0.021066,            0.032705,           0.0056418,              0.9809,             0.98167,             0.98474,             0.82343,             0.01622,            0.022038,            0.003865,           0.0093733,           0.0093733,           0.0093733
                  53,            0.021635,            0.032612,           0.0055012,             0.98052,             0.98221,             0.98587,               0.822,            0.016773,            0.022174,           0.0038572,           0.0093491,           0.0093491,           0.0093491
                  54,            0.021713,            0.032283,           0.0057921,             0.98041,             0.97638,             0.98506,             0.82989,            0.016097,            0.021812,           0.0040599,           0.0093245,           0.0093245,           0.0093245
                  55,            0.020995,            0.032407,           0.0053899,             0.98099,             0.97881,             0.98485,             0.83108,            0.016155,            0.021545,           0.0038241,           0.0092995,           0.0092995,           0.0092995
                  56,            0.021736,            0.031977,           0.0053718,             0.97507,             0.98324,             0.98543,             0.82829,            0.016154,             0.02178,           0.0040275,            0.009274,            0.009274,            0.009274
                  57,            0.020987,            0.030887,           0.0054561,             0.97941,             0.97731,             0.98404,             0.82623,            0.015903,             0.02176,           0.0039262,           0.0092481,           0.0092481,           0.0092481
                  58,            0.021757,            0.031976,           0.0054272,             0.98153,             0.97487,              0.9856,             0.82886,            0.015946,            0.021825,           0.0040739,           0.0092219,           0.0092219,           0.0092219
                  59,            0.020862,            0.032322,           0.0056733,             0.98163,             0.97595,             0.98558,             0.82901,            0.015428,            0.021824,           0.0040066,           0.0091952,           0.0091952,           0.0091952
                  60,             0.02122,             0.03247,           0.0056637,             0.97823,             0.98146,             0.98418,             0.82692,            0.015794,            0.021921,           0.0039641,           0.0091681,           0.0091681,           0.0091681
                  61,            0.021185,            0.031907,           0.0050216,             0.97759,             0.98233,             0.98599,             0.83122,            0.015517,            0.021479,            0.003784,           0.0091406,           0.0091406,           0.0091406
                  62,            0.020715,            0.031253,           0.0052813,             0.97973,              0.9799,             0.98663,             0.83184,            0.015556,            0.021736,           0.0040104,           0.0091127,           0.0091127,           0.0091127
                  63,            0.020776,             0.03068,           0.0056331,             0.98271,              0.9816,             0.98678,             0.83229,            0.015854,             0.02152,           0.0036365,           0.0090844,           0.0090844,           0.0090844
                  64,            0.021482,            0.031702,           0.0053892,             0.98095,             0.98023,             0.98626,             0.83092,            0.015732,            0.021522,           0.0038133,           0.0090557,           0.0090557,           0.0090557
                  65,            0.020457,            0.031175,           0.0054761,             0.98549,             0.97796,             0.98604,             0.83082,            0.015412,            0.021263,           0.0036327,           0.0090266,           0.0090266,           0.0090266
                  66,            0.020765,            0.031488,           0.0058395,             0.98085,             0.97905,             0.98699,             0.83958,            0.015101,            0.021182,           0.0035534,           0.0089972,           0.0089972,           0.0089972
                  67,            0.020386,            0.031491,           0.0050684,             0.98453,             0.97442,             0.98636,             0.83542,            0.015498,            0.021352,           0.0040088,           0.0089673,           0.0089673,           0.0089673
                  68,            0.020642,            0.032023,           0.0050495,              0.9817,             0.97548,             0.98602,             0.82162,            0.015138,            0.021476,            0.003998,           0.0089371,           0.0089371,           0.0089371
