               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022809,            0.032782,           0.0063759,             0.97333,             0.97892,             0.98309,             0.81605,            0.017298,            0.022596,           0.0047444,           0.0089065,           0.0089065,           0.0089065
                  36,            0.022453,            0.032017,           0.0067715,             0.98169,             0.97932,             0.98263,             0.82215,            0.016927,            0.022335,           0.0043434,           0.0088442,           0.0088442,           0.0088442
                  37,            0.022793,            0.033561,           0.0059461,              0.9807,             0.98145,             0.98281,             0.81586,            0.017277,            0.022406,           0.0039532,           0.0087804,           0.0087804,           0.0087804
                  38,            0.022301,             0.03398,            0.006217,             0.98271,             0.97546,             0.98399,             0.81766,            0.016826,             0.02257,           0.0040654,           0.0087151,           0.0087151,           0.0087151
                  39,            0.021993,            0.032518,           0.0067263,             0.98201,             0.98021,             0.98309,             0.81119,            0.017107,            0.022883,           0.0041471,           0.0086485,           0.0086485,           0.0086485
                  40,            0.022161,            0.033277,           0.0062592,             0.98183,             0.98024,             0.98344,              0.8228,            0.016834,            0.022265,           0.0042071,           0.0085805,           0.0085805,           0.0085805
                  41,            0.022144,            0.033846,           0.0058954,             0.98033,             0.97972,             0.98346,             0.81289,             0.01691,            0.022566,            0.004404,           0.0085111,           0.0085111,           0.0085111
                  42,            0.021912,            0.031997,           0.0058943,             0.97718,             0.98083,             0.98333,             0.81991,            0.016602,            0.022413,           0.0041568,           0.0084404,           0.0084404,           0.0084404
                  43,            0.021805,            0.033387,           0.0059463,               0.981,             0.97915,             0.98241,             0.82104,            0.016288,            0.022293,           0.0044474,           0.0083684,           0.0083684,           0.0083684
                  44,            0.021445,            0.033301,           0.0059234,             0.97863,                0.98,               0.982,             0.82249,             0.01639,            0.022358,           0.0042345,           0.0082952,           0.0082952,           0.0082952
                  45,            0.021135,            0.032407,           0.0057772,                0.98,             0.97785,             0.98383,             0.82343,            0.016033,            0.021766,           0.0039164,           0.0082207,           0.0082207,           0.0082207
                  46,            0.021684,            0.033165,           0.0061638,             0.98092,             0.98194,             0.98482,             0.82121,            0.016157,             0.02214,           0.0041825,            0.008145,            0.008145,            0.008145
                  47,            0.021638,            0.032571,            0.006269,             0.97669,             0.97262,             0.98313,             0.82181,            0.016481,             0.02182,           0.0046621,           0.0080682,           0.0080682,           0.0080682
                  48,            0.021656,             0.03284,           0.0061449,             0.97524,             0.98135,             0.98397,             0.83043,            0.015677,            0.021775,            0.004063,           0.0079903,           0.0079903,           0.0079903
                  49,            0.021221,            0.032749,           0.0056019,             0.98086,             0.97891,             0.98493,             0.82812,            0.015971,            0.021445,           0.0039716,           0.0079112,           0.0079112,           0.0079112
                  50,            0.020869,              0.0317,           0.0056177,             0.97934,              0.9836,             0.98572,             0.83056,             0.01549,            0.021883,           0.0040806,           0.0078311,           0.0078311,           0.0078311
                  51,            0.020674,            0.031903,           0.0055063,             0.97716,             0.98219,             0.98328,             0.83134,            0.015683,            0.021741,           0.0042599,             0.00775,             0.00775,             0.00775
                  52,            0.020617,            0.032165,            0.005378,             0.98159,             0.98067,             0.98515,             0.82971,            0.016034,            0.021755,           0.0038103,           0.0076679,           0.0076679,           0.0076679
                  53,            0.020388,            0.031463,           0.0052643,             0.98352,              0.9785,             0.98471,             0.83048,            0.015569,            0.021716,           0.0038012,           0.0075848,           0.0075848,           0.0075848
                  54,            0.020221,            0.030958,           0.0053866,             0.98276,             0.97991,              0.9836,             0.83574,            0.015137,            0.021351,           0.0038847,           0.0075009,           0.0075009,           0.0075009
                  55,             0.02033,            0.031867,           0.0051396,             0.98029,             0.97749,             0.98379,             0.83725,            0.015335,            0.021128,           0.0039941,            0.007416,            0.007416,            0.007416
                  56,            0.019692,             0.03054,           0.0049358,             0.97936,             0.98197,             0.98519,             0.83336,            0.015227,            0.021319,           0.0036803,           0.0073303,           0.0073303,           0.0073303
                  57,            0.019707,            0.029956,           0.0052369,               0.979,             0.97912,             0.98454,             0.83603,            0.015485,            0.021401,           0.0036116,           0.0072438,           0.0072438,           0.0072438
                  58,            0.020199,            0.031076,           0.0056612,              0.9794,             0.97314,             0.98325,             0.82536,            0.015668,            0.021881,           0.0039914,           0.0071566,           0.0071566,           0.0071566
                  59,            0.019491,            0.031599,           0.0056348,             0.98033,             0.98025,             0.98541,             0.83203,            0.015365,            0.021442,            0.003774,           0.0070686,           0.0070686,           0.0070686
                  60,            0.019878,            0.031516,           0.0053765,             0.98447,             0.98002,              0.9852,             0.82778,            0.015961,            0.022035,           0.0037363,           0.0069799,           0.0069799,           0.0069799
                  61,            0.019564,            0.030683,           0.0049895,             0.98106,             0.98081,              0.9836,             0.83084,             0.01534,            0.021491,           0.0037075,           0.0068906,           0.0068906,           0.0068906
                  62,            0.019719,            0.030582,           0.0050835,             0.98088,             0.97767,             0.98407,             0.82947,            0.015295,             0.02166,           0.0038904,           0.0068006,           0.0068006,           0.0068006
                  63,            0.019194,            0.029494,           0.0050598,             0.98281,             0.98184,             0.98591,             0.83711,            0.015023,            0.021288,           0.0034231,           0.0067101,           0.0067101,           0.0067101
                  64,            0.019904,            0.030326,            0.005031,              0.9847,             0.97642,             0.98517,             0.83785,            0.015125,            0.021105,           0.0034316,           0.0066191,           0.0066191,           0.0066191
                  65,            0.018844,            0.029794,           0.0047489,             0.98389,             0.97785,             0.98516,             0.83657,            0.014948,            0.021002,           0.0034028,           0.0065276,           0.0065276,           0.0065276
                  66,            0.019007,            0.029966,           0.0050026,             0.98503,             0.97522,              0.9864,             0.84182,             0.01473,            0.021207,           0.0033797,           0.0064356,           0.0064356,           0.0064356
                  67,            0.018728,            0.030205,           0.0048712,             0.98142,             0.97897,             0.98493,             0.84369,            0.014896,            0.021198,           0.0037358,           0.0063432,           0.0063432,           0.0063432
                  68,            0.019014,            0.030827,           0.0050468,             0.97965,              0.9796,             0.98675,             0.83102,            0.014922,            0.021413,           0.0038621,           0.0062505,           0.0062505,           0.0062505
                  69,            0.018409,             0.03013,           0.0050267,             0.98086,             0.97645,             0.98433,             0.84031,            0.014464,             0.02124,           0.0038067,           0.0061574,           0.0061574,           0.0061574
                  70,            0.018747,            0.030125,           0.0047877,             0.98383,             0.97396,             0.98614,             0.84628,            0.014334,            0.020775,           0.0033829,            0.006064,            0.006064,            0.006064
                  71,            0.018702,            0.029574,           0.0046062,             0.98648,             0.97201,             0.98578,             0.83312,            0.014864,            0.021116,           0.0033218,           0.0059704,           0.0059704,           0.0059704
                  72,            0.018357,            0.030083,           0.0046257,             0.98328,             0.97321,             0.98677,             0.84506,            0.014655,            0.020764,            0.003462,           0.0058766,           0.0058766,           0.0058766
                  73,            0.018623,            0.029601,           0.0044589,             0.98401,             0.97813,             0.98587,             0.84201,            0.014478,            0.021205,           0.0034282,           0.0057826,           0.0057826,           0.0057826
                  74,            0.018292,            0.028358,           0.0053962,             0.98022,             0.97818,             0.98579,             0.84319,            0.014813,            0.021046,           0.0037899,           0.0056884,           0.0056884,           0.0056884
                  75,            0.018147,            0.028985,           0.0047324,             0.98041,             0.97825,              0.9856,             0.84336,            0.014319,            0.020989,           0.0034936,           0.0055942,           0.0055942,           0.0055942
                  76,            0.018328,            0.029213,           0.0040687,             0.98216,             0.98053,             0.98475,             0.84351,            0.014513,            0.020822,           0.0033028,              0.0055,              0.0055,              0.0055
                  77,            0.017842,            0.029406,           0.0042153,             0.98492,             0.97567,             0.98682,             0.84772,            0.014217,            0.020693,           0.0033023,           0.0054058,           0.0054058,           0.0054058
                  78,            0.017755,            0.028786,           0.0041494,             0.98746,             0.98015,             0.98694,               0.849,            0.014207,            0.020695,           0.0032009,           0.0053116,           0.0053116,           0.0053116
                  79,            0.017966,            0.028785,           0.0045307,             0.98024,             0.98116,             0.98678,             0.84717,              0.0144,            0.020601,           0.0034262,           0.0052174,           0.0052174,           0.0052174
                  80,            0.017687,            0.028167,           0.0041377,             0.98239,             0.98097,             0.98644,             0.84912,            0.014364,            0.020659,           0.0032717,           0.0051234,           0.0051234,           0.0051234
                  81,            0.017868,            0.028778,           0.0040213,             0.98012,             0.98234,             0.98643,              0.8511,            0.014078,            0.020302,           0.0032969,           0.0050296,           0.0050296,           0.0050296
                  82,            0.017034,            0.027776,           0.0040707,               0.982,             0.98119,             0.98716,             0.84886,            0.014234,            0.020557,            0.003208,            0.004936,            0.004936,            0.004936
                  83,            0.017445,            0.027958,           0.0040436,             0.98051,             0.98237,             0.98671,             0.85108,            0.013717,            0.020297,           0.0032664,           0.0048426,           0.0048426,           0.0048426
                  84,            0.017079,            0.028092,           0.0039553,             0.98229,             0.97235,             0.98563,             0.85203,            0.013834,            0.020207,           0.0035291,           0.0047495,           0.0047495,           0.0047495
                  85,            0.017212,            0.027923,           0.0039673,             0.98316,              0.9767,             0.98537,             0.85006,            0.013692,             0.02023,           0.0034198,           0.0046568,           0.0046568,           0.0046568
