               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11179,            0.056819,            0.069559,             0.19828,              0.1425,            0.029171,           0.0064402,            0.088167,            0.037857,            0.062934,             0.00302,             0.00302,             0.07282
                   1,            0.084994,            0.061676,            0.061358,             0.88532,            0.072511,            0.060711,            0.031902,            0.083674,            0.027202,            0.058547,           0.0060499,           0.0060499,             0.04555
                   2,            0.082116,            0.060678,            0.057951,             0.90557,             0.10281,             0.10805,            0.042589,            0.077029,            0.021498,            0.056367,           0.0090791,           0.0090791,            0.018279
                   3,            0.078357,            0.057381,            0.057538,             0.17581,              0.3942,             0.18885,            0.085443,            0.064857,            0.029447,            0.055238,           0.0099978,           0.0099978,           0.0099978
                   4,            0.064841,             0.05937,             0.05694,             0.44804,             0.28611,              0.1614,            0.048653,            0.049562,            0.024015,            0.053613,           0.0099978,           0.0099978,           0.0099978
                   5,            0.057866,            0.056109,            0.055124,             0.55092,             0.32365,             0.33927,             0.16139,            0.037344,            0.021406,            0.051762,           0.0099961,           0.0099961,           0.0099961
                   6,            0.049355,            0.052626,            0.053409,             0.88156,             0.24346,              0.3682,             0.19942,            0.035992,             0.01987,            0.049986,           0.0099938,           0.0099938,           0.0099938
                   7,            0.046886,            0.051408,            0.053907,             0.91679,             0.30098,             0.40717,             0.17663,             0.03739,            0.020569,            0.047919,           0.0099911,           0.0099911,           0.0099911
                   8,            0.043049,            0.050093,            0.051921,             0.94555,             0.26281,             0.39418,             0.13293,            0.041394,            0.018621,            0.046764,           0.0099879,           0.0099879,           0.0099879
                   9,            0.043773,            0.053484,            0.049741,             0.95056,             0.31471,             0.42542,             0.25897,            0.031946,            0.018785,            0.044062,           0.0099842,           0.0099842,           0.0099842
                  10,            0.041918,            0.048774,            0.048392,             0.57938,             0.40477,             0.38596,             0.20877,            0.031885,            0.018044,            0.043155,             0.00998,             0.00998,             0.00998
                  11,            0.041528,            0.048602,            0.046899,             0.96545,              0.2947,             0.44837,             0.23744,            0.033811,            0.018534,            0.040785,           0.0099753,           0.0099753,           0.0099753
