               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092258,            0.061976,            0.064924,              0.1504,             0.25157,              0.1073,            0.034068,            0.058528,            0.042177,            0.057019,           0.0033304,           0.0033304,            0.070027
                   1,            0.061932,            0.059108,            0.057795,             0.52392,             0.20403,             0.21951,            0.084952,            0.051522,            0.037375,            0.053404,           0.0066635,           0.0066635,            0.040027
                   2,            0.057079,            0.056502,            0.054644,             0.33091,             0.36501,             0.30732,             0.13004,            0.043292,             0.03635,             0.04869,           0.0099961,           0.0099961,            0.010026
                   3,            0.051215,            0.053888,            0.049969,             0.28807,             0.58093,             0.35951,             0.19016,            0.037536,            0.033552,            0.044744,           0.0099978,           0.0099978,           0.0099978
                   4,            0.042063,            0.049484,            0.046478,             0.19753,             0.73466,             0.40684,             0.23011,            0.032777,            0.033394,            0.040877,           0.0099978,           0.0099978,           0.0099978
                   5,            0.041151,            0.048579,            0.042367,             0.35401,             0.47558,             0.48315,             0.22877,            0.038288,            0.032682,            0.036524,           0.0099961,           0.0099961,           0.0099961
                   6,            0.039512,            0.047972,            0.039085,             0.31028,             0.77902,             0.52955,             0.32222,            0.030006,            0.031669,            0.033122,           0.0099938,           0.0099938,           0.0099938
                   7,            0.038291,            0.047105,            0.035768,             0.37117,             0.79671,             0.56677,             0.34639,            0.028987,            0.030477,            0.031006,           0.0099911,           0.0099911,           0.0099911
                   8,            0.037078,            0.046409,            0.033692,             0.37781,              0.8846,             0.60575,             0.37811,            0.027055,             0.03043,             0.02858,           0.0099879,           0.0099879,           0.0099879
                   9,            0.036422,            0.047225,            0.031475,             0.42431,             0.82441,             0.63119,             0.41736,            0.026151,            0.030467,            0.027397,           0.0099842,           0.0099842,           0.0099842
                  10,            0.035755,            0.045829,            0.029979,             0.43734,             0.80441,             0.66045,             0.45201,             0.02508,            0.029912,            0.024947,             0.00998,             0.00998,             0.00998
                  11,            0.035104,            0.044633,            0.028494,             0.48015,             0.80461,             0.69882,             0.45878,            0.027636,            0.029813,            0.023856,           0.0099753,           0.0099753,           0.0099753
                  12,            0.034029,            0.044605,            0.026681,             0.54312,             0.77677,             0.72878,             0.51108,            0.024879,            0.029136,             0.02178,           0.0099702,           0.0099702,           0.0099702
                  13,            0.034399,            0.043578,             0.02579,             0.51299,             0.82871,             0.74223,             0.51807,            0.024792,            0.029207,            0.020616,           0.0099645,           0.0099645,           0.0099645
                  14,            0.033641,             0.04466,            0.024649,             0.54923,             0.87886,             0.75957,             0.51983,            0.024559,            0.029147,             0.01951,           0.0099584,           0.0099584,           0.0099584
                  15,            0.033224,            0.044508,            0.022928,             0.57444,             0.90955,             0.78879,               0.564,            0.023266,            0.028497,            0.018501,           0.0099517,           0.0099517,           0.0099517
                  16,            0.032661,            0.043797,             0.02218,             0.63937,             0.83579,             0.80698,             0.56988,            0.025445,            0.028568,            0.017054,           0.0099446,           0.0099446,           0.0099446
                  17,            0.032999,            0.043502,            0.020984,             0.69218,             0.85197,              0.8316,             0.58608,            0.024323,            0.028356,            0.016891,            0.009937,            0.009937,            0.009937
                  18,            0.032602,            0.042839,            0.021557,             0.69746,             0.86859,             0.84789,             0.58931,            0.024626,            0.028792,            0.015467,           0.0099289,           0.0099289,           0.0099289
                  19,            0.032902,            0.044153,             0.02057,             0.73091,             0.82708,             0.85321,             0.61483,            0.023824,            0.028163,             0.01496,           0.0099203,           0.0099203,           0.0099203
                  20,            0.032038,            0.042413,            0.019568,             0.84857,             0.83295,             0.89826,             0.65375,            0.022453,            0.028067,            0.013753,           0.0099112,           0.0099112,           0.0099112
                  21,            0.030721,            0.043691,              0.0188,             0.84721,             0.87344,             0.91306,             0.67187,            0.022963,            0.028133,            0.012874,           0.0099017,           0.0099017,           0.0099017
                  22,            0.031956,            0.041414,            0.017946,             0.87892,             0.86926,             0.91554,             0.67325,            0.022749,            0.027637,              0.0119,           0.0098916,           0.0098916,           0.0098916
                  23,             0.03137,            0.042663,            0.017225,             0.85879,             0.89361,             0.92391,             0.66674,            0.023498,            0.028116,            0.011326,           0.0098811,           0.0098811,           0.0098811
                  24,            0.030824,            0.043169,            0.016724,             0.90954,             0.88688,              0.9391,             0.68969,            0.022271,            0.027396,            0.010259,           0.0098701,           0.0098701,           0.0098701
                  25,            0.030603,            0.040711,             0.01643,             0.90068,             0.92482,             0.95344,             0.71368,            0.021494,            0.027429,            0.010123,           0.0098586,           0.0098586,           0.0098586
                  26,            0.030723,            0.042627,            0.016097,             0.91673,             0.91513,             0.94645,             0.70431,            0.021815,             0.02747,           0.0097263,           0.0098467,           0.0098467,           0.0098467
                  27,            0.030956,            0.042498,            0.015773,             0.95042,             0.91571,             0.95577,             0.70421,            0.022337,             0.02739,           0.0097086,           0.0098342,           0.0098342,           0.0098342
                  28,            0.030145,            0.042027,            0.015256,             0.94421,             0.89282,             0.95201,             0.69576,            0.022201,            0.027503,           0.0096072,           0.0098213,           0.0098213,           0.0098213
