               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010674,            0.017117,           0.0017593,             0.97566,             0.98062,             0.98614,             0.82393,            0.010994,            0.012516,           0.0021718,           0.0033289,           0.0033289,             0.07004
                   1,            0.014968,            0.018027,           0.0019257,             0.97726,             0.97352,             0.98598,             0.79521,            0.013879,            0.013741,           0.0026115,           0.0066607,           0.0066607,            0.040039
                   2,            0.018146,            0.021357,           0.0026252,             0.97623,             0.96733,             0.98272,             0.77919,            0.013558,            0.014381,           0.0028361,           0.0099867,           0.0099867,            0.010031
                   3,             0.01792,            0.021267,           0.0035871,              0.9662,             0.96985,               0.983,             0.77557,            0.014942,            0.014064,           0.0048186,             0.00998,             0.00998,             0.00998
                   4,            0.016981,            0.021622,           0.0042583,             0.97877,             0.97171,             0.98435,             0.78083,             0.01328,            0.014166,           0.0025996,             0.00998,             0.00998,             0.00998
                   5,            0.017214,            0.021618,           0.0050082,             0.97278,             0.96622,             0.98192,             0.77035,            0.013668,            0.014456,           0.0043836,           0.0099645,           0.0099645,           0.0099645
                   6,            0.016852,            0.021814,           0.0056697,             0.97301,             0.97456,             0.98271,             0.77837,            0.013671,            0.014236,           0.0029769,           0.0099446,           0.0099446,           0.0099446
                   7,             0.01655,            0.021683,           0.0049737,             0.97544,             0.96987,             0.98388,             0.76906,            0.013894,            0.014645,           0.0031908,           0.0099203,           0.0099203,           0.0099203
                   8,            0.016652,            0.021702,           0.0047316,             0.96852,             0.97555,             0.98337,             0.78525,            0.013128,            0.014194,           0.0029876,           0.0098916,           0.0098916,           0.0098916
                   9,            0.015879,            0.021848,           0.0051462,             0.97385,             0.96839,             0.98372,             0.78241,            0.013849,            0.014283,           0.0031412,           0.0098586,           0.0098586,           0.0098586
                  10,            0.015768,            0.022026,           0.0047172,             0.97687,              0.9723,              0.9837,             0.77562,            0.013235,            0.013923,           0.0028699,           0.0098213,           0.0098213,           0.0098213
                  11,            0.015846,            0.021537,           0.0047276,             0.97588,             0.96967,             0.98452,             0.79591,            0.012496,            0.013684,           0.0030165,           0.0097798,           0.0097798,           0.0097798
                  12,            0.015579,            0.021089,           0.0048563,             0.98134,             0.96327,             0.98372,             0.77651,            0.013481,            0.014299,           0.0030654,            0.009734,            0.009734,            0.009734
